ripgrep,0,/nix/store/mnwijxg252nshvx5kpdjzxb82m6vjcdx-rust_ripgrep-12.1.1
console,0,/nix/store/3m7jldxkmg8gynjgvcqzwpx4x6a6c51r-rust_console-0.14.1
fd-find,0,/nix/store/gikhgizg1ai6iq9sdzaf1bsc74h77zkv-rust_fd-find-8.2.1
procs,1,
tokei,0,/nix/store/629jd9jb78302hk7075irhrjhqcw8ghz-rust_tokei-12.1.2
cross,0,/nix/store/48q4mq1qsixk0m3yxrz0df28w4hs6mz4-rust_cross-0.2.1
pueue,1,
bat,0,/nix/store/vbh6lxdbx6zpfdgxnmijzbr9zzbjic0p-rust_bat-0.18.0
starship,1,
sd,0,/nix/store/kn6g8dbv4qjrj9990g536s8b9nf0isbd-rust_sd-0.7.6
tab,1,
kmon,1,
nitrocli,1,
uucore,1,
tp-note,1,
bingrep,0,/nix/store/66ibydma3bi611rgc78551pd0dwazfs2-rust_bingrep-0.8.5
wrangler,1,
lsd,0,/nix/store/zgngslxy96ikncbyq8bvl1mshnjc6lpa-rust_lsd-0.20.1
git-delta,0,/nix/store/p2023f77psl77ld6d5lf46yvxvb08bjj-rust_git-delta-0.7.1
jql,0,/nix/store/zdyz5x9dsvsxg6088k5jb33h98f65hc8-rust_jql-2.9.4
petname,0,/nix/store/n9qcfi8qrwsgqnqzr4ngqwzhnbh5d6vq-rust_petname-1.1.0
feroxbuster,1,
menyoki,1,
tuftool,1,
lolcate-rs,0,/nix/store/3yla2ly23hdfsy5rj510hkij2bxw1qin-rust_lolcate-rs-0.10.0
tealdeer,1,
godot_rust_helper,1,
cargo-trim,0,/nix/store/w8926s7dhs8zpzy1v8d7j45jnhj2d0l3-rust_cargo-trim-0.7.0
phetch,1,
du-dust,0,/nix/store/cc0b5f03ps6ngiv483bg3ws3icacy95a-rust_du-dust-0.5.4
bottom,1,
coreutils,1,
spotify-tui,1,
heca,1,
dotenv-linter,0,/nix/store/8mnv1ijszd4fm9sdngzabz0wp48vdr8a-rust_dotenv-linter-3.0.0
asfa,1,
conventional_commits_next_version,0,/nix/store/4cc17985qs2dppdgiyknl4vxiv47mny7-rust_conventional_commits_next_version-2.2.0
ffsend,1,
b3sum,0,/nix/store/icizkh1irfkavfhp5dy709dmd41zfpg1-rust_b3sum-0.3.7
viu,0,/nix/store/c9nk86q5qp847w62qn67w3vhym820d39-rust_viu-1.3.0
rust_ledger,0,/nix/store/fagx9imlzfvy3i6w07cx9x1j29zz6gzk-rust_rust_ledger-0.5.0
critcmp,1,
sic,1,
fblog,0,/nix/store/n4l8hq1pmk0cabxnrhgy1kb82200c4p9-rust_fblog-2.3.0
streampager,1,
investments,1,
rustscan,1,
watchexec,1,
bandwhich,0,/nix/store/k76381z7rhj0fgjdwv1nlsp4ax32m443-rust_bandwhich-0.20.0
newdoc,1,
hunter,1,
emplace,0,/nix/store/0r94fyhi3mrrb5cnv6j0b482d939slz6-rust_emplace-1.4.1
broot,1,
mdcat,1,
badtouch,1,
splashsurf,1,
cargo-binutils,0,/nix/store/m827b6cw6jij7vsrgdx8didjamrfjvbd-rust_cargo-binutils-0.3.3
wishbone-tool,1,
gitui,1,
zoxide,1,
gptman,1,
dupe-krill,0,/nix/store/wsppa7ddc71qg07wsayygqd9gmbpy8gl-rust_dupe-krill-1.4.5
sheldon,1,
ffizer,1,
git-brws,1,
scryer-prolog,1,
eureka,0,/nix/store/gkn7g4hdbal09qax48d5rzbd7qw8aa94-rust_eureka-1.8.1
svlint,0,/nix/store/zgipnlq2537hcs802601aj2841q8vpjj-rust_svlint-0.4.18
wmfocus,1,
git-interactive-rebase-tool,0,/nix/store/3icxzf6x5hr6pb4c92ginp3mkf5n9cnp-rust_git-interactive-rebase-tool-2.1.0
ssd-benchmark,0,/nix/store/2mxf44jn6vf8vkcv3nfiv1wpxc1k5psl-rust_ssd-benchmark-1.1.6
vivid,0,/nix/store/l9lgadkcs8dp244bd0n397kkp236vsb2-rust_vivid-0.6.0
hyperfine,1,
routinator,1,
passage,1,
cargo-call-stack,0,/nix/store/jhxcn7pv9909bbgfycmyafn75j6b1b91-rust_cargo-call-stack-0.1.5
proximity-sort,0,/nix/store/khpxrdl6177vc2fj75vaq0j1ij4gx1fs-rust_proximity-sort-1.0.7
hors,1,
runiq,0,/nix/store/a387vh0v8l988rnm80mqn1y8ydxgcwfr-rust_runiq-1.2.1
quickcfg,1,
podcast,1,
procmon-oprs,1,
diffr,0,/nix/store/7nyyhj4qrca8086pnjyglww3ivzprm1d-rust_diffr-0.1.4
yj,1,
ag,0,/nix/store/1iam8h7ljylxkk9p9iyd0d2jyy5z93zf-rust_ag-0.16.0
doh-client,1,
keysync,1,
lok,0,/nix/store/lb91xfzzxwpc758yvb8fwc3lbakk27zs-rust_lok-0.1.4
xcp,0,/nix/store/zgy0ldhq7vcrryjdv5zzqyxbqjlpid53-rust_xcp-0.9.0
kubie,1,
imdl,0,/nix/store/bdr0n7r8shl3wa0kbrg56hl5w7779h81-rust_imdl-0.1.12
hx,0,/nix/store/62vs2q7f2wwqib0imzy7w1dmbqafk1vl-rust_hx-0.4.1
fundoc,0,/nix/store/lfy6pwy3lzd6yywfzlhxva3a49i2sbi1-rust_fundoc-0.2.7
